hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-09-19,2018-09-20,Raffles Junior Suite,"PHP 13,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-09-19,2018-09-20,Executive One-Bedroom Suite,"PHP 19,125",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-10-19,2018-10-20,Raffles Junior Suite,"PHP 10,500",2,(6 km from centre),1,0,1,1,0

Raffles Makati,"1 Raffles Drive, Makati Avenue, Makati, 1224 Manila, Philippines",5,9.4,2018-10-19,2018-10-20,Executive One-Bedroom Suite,"PHP 15,300",2,(6 km from centre),1,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-22,2018-06-23,Business King Flat,"PHP 7,905",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-22,2018-06-23,Business Double Flat,"PHP 7,905",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-22,2018-06-23,Business Suite,"PHP 8,755",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-23,2018-06-24,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-23,2018-06-24,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-23,2018-06-24,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-23,2018-06-24,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-25,2018-06-26,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-25,2018-06-26,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-25,2018-06-26,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-26,2018-06-27,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-26,2018-06-27,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-26,2018-06-27,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-06-26,2018-06-27,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-05,2018-07-06,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-05,2018-07-06,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-05,2018-07-06,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-05,2018-07-06,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-11,2018-07-12,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-11,2018-07-12,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-11,2018-07-12,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-11,2018-07-12,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-16,2018-07-17,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-16,2018-07-17,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-16,2018-07-17,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-16,2018-07-17,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-21,2018-07-22,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-21,2018-07-22,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-21,2018-07-22,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-21,2018-07-22,Executive Suite,"PHP 11,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-26,2018-07-27,Business King Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-26,2018-07-27,Business Double Flat,"PHP 8,300",2,(6 km from centre),0,0,1,1,0

Discovery Primea,"6749 Ayala Avenue, Makati, 1226 Manila, Philippines",5,9.3,2018-07-26,2018-07-27,Business Suite,"PHP 9,300",2,(6 km from centre),0,0,1,1,0

